ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
272,,Grey-backed Storm Petrel,Garrodia nereis,Cape Solander,6 Jul 1984,Withdrawn
273,,Grey-backed Storm Petrel,Garrodia nereis,off Port Macquarie  ,11 Aug 1998,Not accepted
274,,Barred Cuckooshrike,Coracina lineata,Wollongong,15 Nov 1998,Accepted
275,,Baird's Sandpiper,Calidris bairdii,McGraths Hill ,5 Oct 1998,Not accepted
276,248,White Wagtail,Motacilla alba,Clear Lake ,20 Nov 1997,Not accepted
277,258,South Island Pied Oystercatcher,Haematopus finschi,"Robins Beach, South Ballina ",7 Nov 1998,Accepted
278,,White Tern,Gygis alba,Tygalum,8 May 1996,Accepted
288,,Macaroni Penguin,Eudyptes chrysolophus,Batemans Bay  ,10 Dec 1997,Accepted
289,,Black-winged Petrel,Pterodroma nigripennis,Brunswick Heads,27 Jan 1997,Accepted
290,,Oriental Plover,Charadrius veredus,"Warri Gate, Sturt NP",8 Oct 1996,Accepted
291,,Tahiti Petrel,Pseudobulweria rostrata,off Wollongong,23 Feb 1996,Accepted
292,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,27 Jun 1999,Accepted
293,,Blue Petrel,Halobaena caerulea,off Sydney,10 Jul 1999,Accepted
294,,Royal Albatross,Diomedea epomophora (sensu lato),off Wollongong,29 Sep 1999,Accepted
295,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Wollongong,27 Jun 1999,Accepted
296,,Sooty Albatross,Phoebetria fusca,off Wollongong,3 Jul 1999,Accepted
297,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,10 Jul 1999,Accepted
298,,Southern Fulmar,Fulmarus glacialoides,off Wollongong,10 Jul 1999,Accepted
299,,Black-bellied Storm Petrel,Fregetta tropica,off Wollongong,10 Jul 1999,Accepted
300,,White-necked Petrel,Pterodroma cervicalis,off South West Rocks,4 Jul 1999,Not reviewed
301,,Royal Albatross,Diomedea epomophora (sensu lato),Maroubra ,31 Jul 1999,Accepted
302,,Southern Fulmar,Fulmarus glacialoides,Maroubra ,31 Jul 1999,Accepted
303,,Pink Robin,Petroica rodinogaster,"Mitchell Park, Cattai",11 Apr 1999,Not accepted
304,,Blue-winged Kookaburra,Dacelo leachii,Sturt NP,10 Sep 1999,Not Confirmed (not assessed)
305,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,25 Sep 1999,Accepted
306,,Roseate Tern,Sterna dougallii,"Woody Head, Iluka ",24 Jan 1999,Accepted
307,,Grey-headed Albatross,Thalassarche chrysostoma,off Sydney,8 Jul 2000,Accepted
309,,Eastern Yellow Wagtail,Motacilla tschutschensis,Ash Island,20 Feb 2000,Accepted
310,307,Northern Shoveler,Anas clypeata,"Kalangadoo, via Lawrence",12 Aug 2000,Accepted
311,,Common Redshank,Tringa totanus,Jerseyville,14 Sep 2000,Accepted
312,,Roseate Tern,Sterna dougallii,Broadwater NP,2 Apr 2000,Accepted
313,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,27 Jul 2000,Accepted
314,,White-chinned Petrel,Procellaria aequinoctialis,4.5 km n of Ballina (=Flatrock Beach??),26 Feb 2000,Accepted
